algo,run_no,itération,coût
rand,3,22,157.59820314967521
rand,3,23,157.59820314967521
rand,3,24,157.59820314967521
rand,3,25,157.59820314967521
rand,3,26,157.59820314967521
rand,3,27,157.59820314967521
rand,3,28,157.59820314967521
rand,3,29,157.59820314967521
rand,3,30,157.59820314967521
rand,3,31,157.59820314967521
rand,3,32,157.59820314967521
rand,3,33,157.59820314967521
rand,3,34,157.59820314967521
rand,3,35,157.59820314967521
rand,3,36,157.59820314967521
rand,3,37,157.59820314967521
rand,3,38,157.59820314967521
rand,3,39,157.59820314967521
rand,3,40,157.59820314967521
rand,3,41,157.59820314967521
rand,3,42,157.57267122556644
rand,3,43,157.57267122556644
rand,3,44,157.57267122556644
rand,3,45,157.57267122556644
rand,3,46,157.57267122556644
rand,3,47,157.57267122556644
rand,3,48,157.57267122556644
rand,3,49,157.57267122556644
hc,3,0,161.85760711532689
hc,3,0,161.33032837631455
hc,3,1,161.3011450209058
hc,3,2,161.27196166549706
hc,3,3,161.27196166549706
hc,3,4,161.27196166549706
hc,3,5,161.27196166549706
hc,3,6,161.2427783100883
hc,3,7,161.2427783100883
hc,3,8,161.2427783100883
hc,3,9,160.76076515504596
hc,3,10,160.76076515504596
hc,3,11,160.6033765608288
hc,3,12,160.17623932719235
hc,3,13,160.15537203637956
hc,3,14,159.76292923065762
hc,3,15,159.64816415350856
hc,3,16,159.64816415350856
hc,3,17,159.64816415350856
hc,3,18,159.64816415350856
hc,3,19,159.30539749657052
hc,3,20,159.30539749657052
hc,3,21,159.20894463348728
hc,3,22,159.20894463348728
hc,3,23,159.20894463348728
hc,3,24,158.91267286421476
hc,3,25,158.91267286421476
hc,3,26,158.90157134808933
hc,3,27,158.90157134808933
hc,3,28,158.90157134808933
hc,3,29,158.635589035589
hc,3,30,158.39756792262074
hc,3,31,158.34690917437808
hc,3,32,158.29625042613546
hc,3,33,158.2455916778928
hc,3,34,158.2396860220399
hc,3,35,158.1894285297956
hc,3,36,158.13917103755128
hc,3,37,158.13917103755128
hc,3,38,158.08891354530698
hc,3,39,158.03865605306268
hc,3,40,158.0343554212031
hc,3,41,158.03005478934352
hc,3,42,157.90600483127363
hc,3,43,157.86812391534804
hc,3,44,157.86513711951022
hc,3,45,157.86513711951022
hc,3,46,157.86513711951022
hc,3,47,157.8275635527062
hc,3,48,157.82488410599
hc,3,49,157.82488410599
ghc,3,0,160.56330016694093
ghc,3,0,160.24229106494784
ghc,3,1,160.21510984702988
ghc,3,2,159.69708610484224
ghc,3,3,159.66375961941026
ghc,3,4,159.01425639549507
ghc,3,5,158.82925850406335
ghc,3,6,158.82925850406335
ghc,3,7,158.64431300686272
ghc,3,8,158.64431300686272
ghc,3,9,158.62631862504307
ghc,3,10,158.46442774533818
ghc,3,11,158.4541007712734
ghc,3,12,158.05465311546877
ghc,3,13,157.9453435930415
ghc,3,14,157.9453435930415
ghc,3,15,157.7668771271395
ghc,3,16,157.6936146120082
ghc,3,17,157.69147260131493
ghc,3,18,157.5825291446582
ghc,3,19,157.5450050575453
ghc,3,20,157.54449588829698
ghc,3,21,157.54373213442446
ghc,3,22,157.51845662215825
ghc,3,23,157.50530557438879
ghc,3,24,157.50530557438879
ghc,3,25,157.50530557438879
ghc,3,26,157.50527432438878
ghc,3,27,157.50527432438878
ghc,3,28,157.50524307438877
ghc,3,29,157.5051805743888
ghc,3,30,157.50508682438877
ghc,3,31,157.5050555743888
ghc,3,32,157.50502432438878
ghc,3,33,157.50499307438878
ghc,3,34,157.50493057438877
ghc,3,35,157.50486807438878
ghc,3,36,157.50480557438877
ghc,3,37,157.50474307438878
